chapter	repo_file	visible_title	document_title
1	chapter-001.xhtml	Hellhound (1)	Chapter 1: Hellhound (1)
2	chapter-002.xhtml	Hellhound (2)	Chapter 2: Hellhound (2)
3	chapter-003.xhtml	Hellhound (3)	Chapter 3: Hellhound (3)
4	chapter-004.xhtml	The Baskerville Dog (1)	Chapter 4: The Baskerville Dog (1)
5	chapter-005.xhtml	The Baskerville Dog (2)	Chapter 5: The Baskerville Dog (2)
6	chapter-006.xhtml	The Baskerville Dog (3)	Chapter 6: The Baskerville Dog (3)
7	chapter-007.xhtml	The Baskerville Dog (4)	Chapter 7: The Baskerville Dog (4)
8	chapter-008.xhtml	Hounds of Hell (1)	Chapter 8: Hounds of Hell (1)
9	chapter-009.xhtml	Hounds of Hell (2)	Chapter 9: Hounds of Hell (2)
10	chapter-010.xhtml	Hounds of Hell (3)	Chapter 10: Hounds of Hell (3)
11	chapter-011.xhtml	Hounds of Hell (4)	Chapter 11: Hounds of Hell (4)
12	chapter-012.xhtml	The Gluttonous Flies (1)	Chapter 12: The Gluttonous Flies (1)
13	chapter-013.xhtml	The Gluttonous Flies (2)	Chapter 13: The Gluttonous Flies (2)
14	chapter-014.xhtml	Solitary (1)	Chapter 14: Solitary (1)
15	chapter-015.xhtml	Solitary (2)	Chapter 15: Solitary (2)
16	chapter-016.xhtml	Solitary (3)	Chapter 16: Solitary (3)
17	chapter-017.xhtml	Solitary (4)	Chapter 17: Solitary (4)
18	chapter-018.xhtml	Bared Teeth (1)	Chapter 18: Bared Teeth (1)
19	chapter-019.xhtml	Bared Teeth (2)	Chapter 19: Bared Teeth (2)
20	chapter-020.xhtml	Camus Morgue (1)	Chapter 20: Camus Morgue (1)
21	chapter-021.xhtml	Camus Morgue (2)	Chapter 21: Camus Morgue (2)
22	chapter-022.xhtml	Camus Morgue (3)	Chapter 22: Camus Morgue (3)
23	chapter-023.xhtml	Camus Morgue (4)	Chapter 23: Camus Morgue (4)
24	chapter-024.xhtml	Camus Morgue (5)	Chapter 24: Camus Morgue (5)
25	chapter-025.xhtml	Camus Morgue (6)	Chapter 25: Camus Morgue (6)
26	chapter-026.xhtml	The Graduate (1)	Chapter 26: The Graduate (1)
27	chapter-027.xhtml	The Graduate (2)	Chapter 27: The Graduate (2)
28	chapter-028.xhtml	Special Laws of Vikir (1)	Chapter 28: Special Laws of Vikir (1)
29	chapter-029.xhtml	Special Laws of Vikir (2)	Chapter 29: Special Laws of Vikir (2)
30	chapter-030.xhtml	Special Law of Vikir (3)	Chapter 30: Special Law of Vikir (3)
31	chapter-031.xhtml	Special Laws of Vikir (4)	Chapter 31: Special Laws of Vikir (4)
32	chapter-032.xhtml	The Social Club (1)	Chapter 32: The Social Club (1)
33	chapter-033.xhtml	The Social Club (2)	Chapter 33: The Social Club (2)
34	chapter-034.xhtml	The Social Club (3)	Chapter 34: The Social Club (3)
35	chapter-035.xhtml	Slave Auction (1)	Chapter 35: Slave Auction (1)
36	chapter-036.xhtml	Slave Auction (2)	Chapter 36: Slave Auction (2)
37	chapter-037.xhtml	Slave Auction (3)	Chapter 37: Slave Auction (3)
38	chapter-038.xhtml	Sponsored (1)	Chapter 38: Sponsored (1)
39	chapter-039.xhtml	Sponsored (2)	Chapter 39: Sponsored (2)
40	chapter-040.xhtml	Morgue’s United Front (1)	Chapter 40: Morgue’s United Front (1)
41	chapter-041.xhtml	Morgue’s United Front (2)	Chapter 41: Morgue’s United Front (2)
42	chapter-042.xhtml	Morgue’s United Front (3)	Chapter 42: Morgue’s United Front (3)
43	chapter-043.xhtml	The Fiancée (1)	Chapter 43: The Fiancée (1)
44	chapter-044.xhtml	The Fiancée (2)	Chapter 44: The Fiancée (2)
45	chapter-045.xhtml	The Fiancée (3)	Chapter 45: The Fiancée (3)
46	chapter-046.xhtml	The Husband Hunt (1)	Chapter 46: The Husband Hunt (1)
47	chapter-047.xhtml	The Husband Hunt (2)	Chapter 47: The Husband Hunt (2)
48	chapter-048.xhtml	The Husband Hunt (3)	Chapter 48: The Husband Hunt (3)
49	chapter-049.xhtml	The Husband Hunt (4)	Chapter 49: The Husband Hunt (4)
50	chapter-050.xhtml	The Husband Hunt (5)	Chapter 50: The Husband Hunt (5)
51	chapter-051.xhtml	The Husband Hunt (6)	Chapter 51: The Husband Hunt (6)
52	chapter-052.xhtml	Slaves of the Savage Tribe (1)	Chapter 52: Slaves of the Savage Tribe (1)
53	chapter-053.xhtml	Slave of the Barbarian Tribe (2)	Chapter 53: Slave of the Barbarian Tribe (2)
54	chapter-054.xhtml	Slaves of the Barbarian Tribe (3)	Chapter 54: Slaves of the Barbarian Tribe (3)
55	chapter-055.xhtml	The Hunter and the Hunted (1)	Chapter 55: The Hunter and the Hunted (1)
56	chapter-056.xhtml	The Hunter and the Hunted (2)	Chapter 56: The Hunter and the Hunted (2)
57	chapter-057.xhtml	The Hunter and The Hunted (3)	Chapter 57: The Hunter and The Hunted (3)
58	chapter-058.xhtml	The Hunter and the Hunted (4)	Chapter 58: The Hunter and the Hunted (4)
59	chapter-059.xhtml	The Hunter and the Hunted (5)	Chapter 59: The Hunter and the Hunted (5)
60	chapter-060.xhtml	The Protagonist of Hunting (1)	Chapter 60: The Protagonist of Hunting (1)
61	chapter-061.xhtml	The Protagonist of Hunting (2)	Chapter 61: The Protagonist of Hunting (2)
62	chapter-062.xhtml	The Protagonist of Hunting (3)	Chapter 62: The Protagonist of Hunting (3)
63	chapter-063.xhtml	Unfair Trade (1)	Chapter 63: Unfair Trade (1)
64	chapter-064.xhtml	Unfair Trade (2)	Chapter 64: Unfair Trade (2)
65	chapter-065.xhtml	Unfair Trade (3)	Chapter 65: Unfair Trade (3)
66	chapter-066.xhtml	Unfair Trade (4)	Chapter 66: Unfair Trade (4)
67	chapter-067.xhtml	Blood Relatives (1)	Chapter 67: Blood Relatives (1)
68	chapter-068.xhtml	Blood Relatives (2)	Chapter 68: Blood Relatives (2)
69	chapter-069.xhtml	Blood Relatives (3)	Chapter 69: Blood Relatives (3)
70	chapter-070.xhtml	Blood Relatives (4)	Chapter 70: Blood Relatives (4)
71	chapter-071.xhtml	The Red Death (1)	Chapter 71: The Red Death (1)
72	chapter-072.xhtml	The Red Death (2)	Chapter 72: The Red Death (2)
73	chapter-073.xhtml	The Red Death (3)	Chapter 73: The Red Death (3)
74	chapter-074.xhtml	The Hound of the Night (1)	Chapter 74: The Hound of the Night (1)
75	chapter-075.xhtml	The Hound of the Night (2)	Chapter 75: The Hound of the Night (2)
